"* Q5A/Q5B, Q2A/Q2B, Q4A/Q4B must be matched transistor pairs.  We recommend sourcing these from Thonk.co.uk if you do not have the capability of matching transistors.",,,,,,,,,,,
** R43 may be a 2K TempCo resistor. Not required for a video oscillator.,,,,,,,,,,,
Line Item,Quantity,Reference Designators,Manufacturer,Manufacturer P/N,Vendor,Vendor P/N,Description,Value,Package,Part Type,Assembly Location
33,1,R6,Bourns,3362P-1-103LF,Mouser,652-3362P-1-103LF,"Trimmer Resistors - Through Hole 1/4""SQ 10KOHMS 10% 0.5WATTS",10K,-,Through Hole,PCB Top
34,1,R41,KOA Speer,MF1/4DCT52R1000F,Mouser,660-MF1/4DCT52R1000F,Metal Film Resistors - Through Hole 100 ohms 1% 100PPM,100R,-,Through Hole,PCB Top
35,2,"R42, R113",KOA Speer,MF1/4DCT52R75R0F,Mouser,660-MF1/4DCT52R75R0F,Metal Film Resistors � Through Hole 1/4W 75 ohm 1% ,75R,-,Through Hole,PCB Top
36,1,R43**,KOA Speer,MF1/4DCT52R2001F,Mouser,660-MF1/4DCT52R2001F,Metal Film Resistors - Through Hole 2Kohms 1% 100PPM,2K,-,Through Hole,PCB Top
37,2,"R2, R30",KOA Speer,MF1/4DCT52R1652F,Mouser,660-MF1/4DCT52R1652F,Metal Film Resistors - Through Hole 16.5Kohms 1% 100PPM,16.5K,-,Through Hole,PCB Top
38,3,"R3, R8, R25",KOA Speer,MF1/4DCT52R4021F,Mouser,660-MF1/4DCT52R4021F,Metal Film Resistors - Through Hole 4.02Kohms 1% 100PPM,4.02K,-,Through Hole,PCB Top
39,1,R46,KOA Speer,MF1/4DCT52R8251F,Mouser,660-MF1/4DCT52R8251F,Metal Film Resistors - Through Hole 8.25Kohms 1% 100PPM,8.25K,-,Through Hole,PCB Top
40,1,R47,KOA Speer,MF1/4DCT52R1204F,Mouser,660-MF1/4DCT52R1204F,Metal Film Resistors - Through Hole 1.2M ohms 1% 100PPM,1.2M,-,Through Hole,PCB Top
41,1,R106,KOA Speer,MF1/4DCT52R2051F,Mouser,660-MF1/4DCT52R2051F,Metal Film Resistors - Through Hole 2.05Kohms 1% 100PPM,2.05K,-,Through Hole,PCB Top
42,1,C13,Vishay / BC Components,K101J15C0GF53L2,Mouser,594-K101J15C0GF53L2,Multilayer Ceramic Capacitors MLCC - Leaded 100pF 50volts 5% .1LS C0G/NPO,100p,-,Through Hole,PCB Top
43,1,C16,Vishay / BC Components,K151J15C0GF53L2,Mouser,594-K151J15C0GF53L2,Multilayer Ceramic Capacitors MLCC - Leaded 100pF 50volts 5% .1LS C0G/NPO,150p,-,Through Hole,PCB Top
44,1,C17,TDK,FK16C0G1H473J,Mouser,810-FK16C0G1H473J,Multilayer Ceramic Capacitors MLCC - Leaded 0.047uF 50volts C0G +/-5%,47nF,-,Through Hole,PCB Top
45,1,C18,TDK,FG18C0G1H150JNT00,Mouser,810-FG18C0G1H150JNT0,Multilayer Ceramic Capacitors MLCC - Leaded 15pF 50volts C0G 5% Radial LS:2.5mm,15pF,-,Through Hole,PCB Top
46,1,C22,TDK,FG18X5R1H105KRT00,Mouser,810-FG18X5R1H105KRT0,Multilayer Ceramic Capacitors MLCC - Leaded 1uF 50volts X5R 10% Radial LS:2.5mm,1uF,-,Through Hole,PCB Top
47,1,U11,Texas Instruments,CD4066BE,Mouser,595-CD4066BE,Analog Switch ICs Quad,-,DIP-14,Through Hole,PCB Top
